monarchrunid,ctmmlabel,ctmmsuccess,map,year,monarchid,runid,releasesiteid_arcmap,releasesiteid_repid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,15mindud,dudtime,finaldud,Responsiveness,Release,releaselandclass,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing,total.distance,stepover50,stepclass50,numstepsover50,stepover100,avgstep,turnstdev,step01,step02,step03,step04,step05,step06,step07,step08,step09,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32,step33,step34,step35,turn01,turn02,turn03,turn04,turn05,turn06,turn07,turn08,turn09,turn10,turn11,turn12,turn13,turn14,turn15,turn16,turn17,turn18,turn19,turn20,turn21,turn22,turn23,turn24,turn25,turn26,turn27,turn28,turn29,turn30,turn31,turn32,turn33,turn34,bearing01,bearing02,bearing03,bearing04,bearing05,bearing06,bearing07,bearing08,bearing09,bearing10,bearing11,bearing12,bearing13,bearing14,bearing15,bearing16,bearing17,bearing18,bearing19,bearing20,bearing21,bearing22,bearing23,bearing24,bearing25,bearing26,bearing27,bearing28,bearing29,bearing30,bearing31,bearing32,bearing33,bearing34,bearing35,windbearing,remaincross,freqcross,timebefore50mstep,timebeforecross,totalpts,croppts,edge5mpts,poorpts,richpts,totaltime,croptime,edge5mtime,poortime,richtime,firstbigsteplength,durationtofirstbigstep,stepspriortofirstbig,bigcrossfrom,bigcrossto,biginitiatefromrelease
20071a,gl,dud,dud,2020,20071,a,,,1,ad prairie,7/24/2020,0.1707,7/25/2020,1,east,n,transmitter,165.364,straight,roadside,71,21.66666667,cloudy,2,3.218,NNW,7:17:00,7:32:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.5,,,,,,,,,,,,,,,,,,,,
20071b,gm,dud,dud,2020,20071,b,,,1,ad prairie,7/24/2020,0.1707,7/27/2020,3,east,n,transmitter,165.364,straight,roadside,75.5,24.16666667,mostly cloudy,0,0,,8:57:00,9:12:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
20072a,gn,dud,dud,2020,20072,a,,,1,ad prairie,7/24/2020,0.1931,7/25/2020,1,east,n,transmitter,165.364,straight,roadside,75.8,24.33333333,cloudy,4,6.436,NNW,7:44:00,7:59:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.5,,,,,,,,,,,,,,,,,,,,
20072b,go,dud,dud,2020,20072,b,,,1,ad prairie,7/24/2020,0.1931,7/27/2020,3,east,n,transmitter,165.364,straight,roadside,75.5,24.16666667,mostly cloudy,0,0,S,9:24:00,10:06:00,0:42:00,2520,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,,,,,,,,,,,,,,,,,,,,
20073a,gp,dud,dud,2020,20073,a,,,1,east dairy,7/24/2020,0.1743,7/25/2020,1,east,y,transmitter,165.364,straight,roadside,77.5,25.27777778,cloudy,3.5,5.6315,NNW,8:15:00,8:45:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.5,,,,,,,,,,,,,,,,,,,,
20074a,gq,dud,dud,2020,20074,a,,,1,east dairy,7/24/2020,0.1791,7/25/2020,1,east,y,transmitter,165.364,straight,roadside,79.5,26.38888889,cloudy,9.3,14.9637,NNW,8:55:00,9:25:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.5,,,,,,,,,,,,,,,,,,,,
20076a,gs,dud,dud,2020,20076,a,,,1,ad prairie,7/25/2020,0.2,7/27/2020,2,east,n,transmitter,165.364,straight,roadside,77.5,25.27777778,clear,3,4.827,S,10:13:00,10:45:00,0:32:00,1920,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,,,,,,,,,,,,,,,,,,,,
20079a,gw,dud,dud,2020,20079,a,,,1,ad prairie,7/25/2020,0.1586,7/27/2020,2,east,n,transmitter,165.364,straight,roadside,87,30.55555556,clear,0,0,S,12:20:00,12:58:00,0:38:00,2280,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,,,,,,,,,,,,,,,,,,,,
20080a,gx,dud,dud,2020,20080,a,,,1,ad prairie,7/25/2020,0.1775,7/27/2020,2,east,n,transmitter,165.364,straight,roadside,83,28.33333333,clear,4,6.436,N,13:04:00,13:19:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,,,,,,,
20083a,hb,dud,dud,2020,20083,a,,,1,jesse,7/28/2020,0.1335,7/30/2020,2,east,n,transmitter,165.558,straight,roadside,72,22.22222222,mostly cloudy,7,11.263,SW,9:00:00,9:33:00,0:33:00,1980,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20084a,hc,dud,dud,2020,20084,a,,,1,ad prairie,7/29/2020,0.1562,7/30/2020,1,east,n,transmitter,165.558,straight,roadside,74,23.33333333,mostly clear,7.8,12.5502,SW,9:44:00,9:59:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20085a,he,dud,dud,2020,20085,a,,,1,jesse,7/29/2020,0.192,7/30/2020,1,east,n,transmitter,165.558,straight,roadside,77,25,mostly clear,6,9.654,SW,10:04:00,10:34:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20086a,hf,dud,dud,2020,20086,a,,,1,ad prairie,7/29/2020,0.1963,7/30/2020,1,east,n,transmitter,165.558,straight,roadside,78,25.55555556,mostly clear,6.9,11.1021,SW,10:42:00,11:15:00,0:33:00,1980,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20088a,hh,dud,dud,2020,20088,a,,,1,jesse,7/29/2020,0.2185,7/30/2020,1,east,n,transmitter,165.558,straight,roadside,88,31.11111111,mostly clear,6,9.654,SW,11:52:00,12:22:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20090a,hk,dud,dud,2020,20090,a,,,1,ad prairie,7/30/2020,0.2331,7/31/2020,1,east,n,transmitter,165.158,straight,roadside,88.5,31.38888889,mostly cloudy,0,0,,13:04:00,13:34:00,0:30:00,1800,0,,fly,30,dud,Responsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
20093a,ho,dud,dud,2020,20093,a,,,1,jesse,7/30/2020,0.1307,8/1/2020,2,east,n,transmitter,165.157,straight,roadside,73,22.77777778,mostly clear,1.5,2.4135,SSW,9:18:00,9:33:00,0:15:00,900,0,,dud,15,dud,Unresponsive,east,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.5,,,,,,,,,,,,,,,,,,,,
19080a,ba,dud,dud,2019,19080,a,,,NA,GM,7/18/2019,0.2453,7/21/2019,3,GM,y,transmitter,89,bent,habitatutilization,73.2,22.88888889,cloudy,5.1,8.2059,SSE,9:53,10:08,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,,,,,,,,,,,,,,,,,,,,
19083a,bc,dud,dud,2019,19083,a,,,NA,GM,7/19/2019,0.4806,7/21/2019,2,GM,y,none,NA,,habitatutilization,83.2,28.44444444,cloudy,3.1,4.9879,SSW,12:45,13:00,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.5,,,,,,,,,,,,,,,,,,,,
19087a,be,dud,dud,2019,19087,a,,,NA,GM,7/20/2019,0.2588,7/21/2019,1,GM,y,transmitter,89,bent,habitatutilization,82.1,27.83333333,cloudy,2.4,3.8616,SSW,,,,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.5,,,,,,,,,,,,,,,,,,,,
19091b,bi,dud,dud,2019,19091,b,,,NA,GM,7/21/2019,0.2993,7/22/2019,1,GM,y,transmitter,89,bent,habitatutilization,79.7,26.5,clear,0.8,1.2872,SW,9:03,9:18,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
19103a,bk,dud,dud,2019,19103,a,,,NA,GM,7/21/2019,0.3035,7/23/2019,2,GM,y,transmitter,88,bent,habitatutilization,83,28.33333333,mostly cloudy,3.1,4.9879,S,11:41,11:56,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,,,,,,,,,,,,,,,,,,,,
19115a,bo,dud,dud,2019,19115,a,,,NA,GM,7/21/2019,0.3868,7/23/2019,2,GM,y,none,NA,,habitatutilization,75.7,24.27777778,clear,3.5,5.6315,SSE,10:04,10:09,0:05:00,300,0,,dud,5,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,,,,,,,,,,,,,,,,,,,,
19120a,bq,dud,dud,2019,19120,a,,,NA,GM,7/22/2019,0.3934,7/23/2019,1,GM,y,none,NA,,habitatutilization,78.9,26.05555556,clear,3.5,5.6315,SE,10:48,11:03,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,,,,,,,,,,,,,,,,,,,,
19121a,br,dud,dud,2019,19121,a,,,NA,GM,7/22/2019,0.4507,7/23/2019,1,GM,y,none,NA,,habitatutilization,77.9,25.5,clear,4.2,6.7578,S,11:11,11:26,0:15:00,900,0,,dud,15,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,,,,,,,,,,,,,,,,,,,,
19133a,by,dud,dud,2019,19133,a,,,NA,GM,7/23/2019,0.3628,7/24/2019,1,GM,y,transmitter,89,bent,habitatutilization,88.6,31.44444444,clear,0.5,0.8045,SE,12:49,12:52:50,0:03:50,230,0,,dud,4,dud,Unresponsive,edge,edge,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,,,,,,,,,,,,,,,,,,,,
